Open Time,Open,High,Low,Close,Volume,Taker Buy Base Volume,Taker Buy Quote Volume
2023-07-22,29901.72,29999.0,29625.1,29794.0,14660.40467,6725.50525,200848375.4485695
2023-07-23,29793.99,30350.0,29730.0,30083.75,18292.78637,8889.35695,266761143.4116981
2023-07-24,30083.75,30099.58,28861.9,29176.5,39628.99691,18047.66786,529388757.4915814
2023-07-25,29176.5,29376.0,29047.65,29228.91,21565.7478,10257.29455,299466722.1976085
2023-07-26,29228.91,29690.0,29096.94,29351.96,33931.63366,15987.94266,469155943.83416
2023-07-27,29351.95,29567.49,29083.85,29222.78,22476.47626,10384.95749,304728875.7312362
2023-07-28,29222.78,29542.22,29123.12,29314.14,23993.61627,11422.36141,334588917.0883291
2023-07-29,29314.14,29406.92,29256.18,29352.9,10851.36844,5443.09222,159659088.1646764
2023-07-30,29352.9,29449.0,29033.24,29281.09,15706.97441,7720.41654,226012721.3705351
2023-07-31,29281.09,29530.0,29101.8,29232.25,22605.48964,11029.2258,323482162.2920864
2023-08-01,29232.26,29739.25,28585.7,29705.99,44719.65162,21831.75056,634595648.9435309
2023-08-02,29705.99,30047.5,28927.5,29186.01,48181.65141,22953.8144,676256840.2750593
2023-08-03,29186.0,29433.33,28968.0,29193.64,26476.91994,12901.09228,376856740.4883937
2023-08-04,29193.65,29333.08,28807.54,29113.99,23551.95217,10539.62903,307284659.321428
2023-08-05,29114.0,29152.23,28978.64,29072.13,11645.52018,5491.4962,159611625.1658778
2023-08-06,29072.13,29205.09,28991.88,29088.42,13178.1972,6471.24487,188192943.696217
2023-08-07,29088.43,29276.78,28701.03,29211.06,30966.87746,15375.49318,446702609.5645752
2023-08-08,29211.06,30244.0,29146.45,29770.42,45700.53392,24189.62133,716161501.5730364
2023-08-09,29770.41,30160.0,29376.67,29581.99,38003.88725,18700.85778,556446376.251785
2023-08-10,29581.99,29738.0,29320.2,29455.75,23463.45373,11204.06553,330886650.2003818
2023-08-11,29455.76,29564.52,29252.45,29426.03,20637.0443,9803.94004,288451712.1002085
2023-08-12,29426.02,29481.35,29381.56,29430.17,8971.48068,4181.99127,123039182.1587899
2023-08-13,29430.18,29474.65,29272.32,29303.84,11101.70947,5257.07008,154501729.2473491
2023-08-14,29303.85,29695.32,29102.45,29430.93,31443.11532,15036.11048,442247506.1673844
2023-08-15,29430.92,29499.26,29059.6,29200.0,27503.87691,12751.63951,374046205.2590536
2023-08-16,29200.01,29259.85,28723.08,28730.51,32996.69854,14761.86053,429510396.4298237
2023-08-17,28730.51,28783.48,25166.0,26623.41,100271.54033,47495.99471,1302553963.3106227
2023-08-18,26623.41,26832.6,25619.0,26054.0,69790.65711,33522.24573,881095856.1944035
2023-08-19,26054.0,26281.0,25801.09,26100.01,26160.75343,12952.29598,337010159.8115182
2023-08-20,26100.01,26299.0,25971.05,26189.99,19056.91209,9909.1293,258890029.0825063
2023-08-21,26190.0,26258.42,25812.0,26126.92,30267.24233,14052.07264,365942107.3406446
2023-08-22,26126.92,26139.42,25300.0,26056.0,34247.06688,16436.92888,425661908.6149738
2023-08-23,26055.99,26819.27,25812.82,26432.72,44023.69978,21955.66524,576734438.2954001
2023-08-24,26432.71,26577.87,25864.0,26180.05,30205.22116,13987.93493,367233375.4168434
2023-08-25,26180.05,26314.05,25777.15,26060.01,27753.33772,13258.65894,345214226.918254
2023-08-26,26060.0,26125.77,25985.92,26017.37,10022.22322,4681.90628,121952627.5976749
2023-08-27,26017.38,26182.23,25966.11,26101.77,12099.64216,6170.48664,160918200.3936097
2023-08-28,26101.78,26253.99,25864.5,26120.0,22692.62655,10912.40549,284226173.7934395
2023-08-29,26120.0,28142.85,25922.0,27716.34,74251.99488,37945.55071,1034244032.3814663
2023-08-30,27716.34,27768.57,27017.24,27299.99,35448.25848,16715.57712,456926409.729732
2023-08-31,27299.99,27587.51,25655.01,25940.78,51032.80401,24598.11397,655707233.8849008
2023-09-01,25940.77,26156.0,25333.75,25805.05,41032.15056,19960.9903,515429946.1831724
2023-09-02,25805.04,25987.5,25752.47,25869.51,16250.77698,7634.91416,197234437.0220484
2023-09-03,25869.52,26135.0,25800.0,25971.21,17474.47667,8583.16498,222581536.0268467
2023-09-04,25971.21,26108.02,25631.21,25826.02,21777.59609,10177.3686,263365883.4295556
2023-09-05,25826.03,25915.49,25562.62,25792.1,21323.39337,9926.65838,255537038.4660957
2023-09-06,25792.11,26040.0,25372.51,25759.95,27262.52386,12736.70564,327416444.7840959
2023-09-07,25759.95,26443.14,25615.38,26255.0,27687.49567,13506.19156,350741324.2920373
2023-09-08,26255.0,26445.5,25647.26,25910.5,28999.76471,14238.89945,370236844.4314076
2023-09-09,25910.5,25945.09,25796.64,25901.61,10980.62277,5212.44349,134863388.7628859
2023-09-10,25901.6,26033.66,25570.57,25841.61,18738.26914,8747.51072,225752901.0403501
2023-09-11,25841.6,25900.69,24901.0,25162.52,41682.32,19664.90243,498821645.3852222
2023-09-12,25162.53,26567.0,25131.48,25840.1,56434.38537,27720.5183,719147319.9787064
2023-09-13,25840.1,26405.22,25764.17,26222.0,31610.82753,15287.00038,399099781.6207648
2023-09-14,26222.0,26860.49,26126.77,26522.73,38333.1725,19440.45467,514863794.3783894
2023-09-15,26522.73,26888.0,26224.0,26600.0,26227.29369,12600.39115,334045930.7667212
2023-09-16,26599.99,26777.0,26445.0,26559.67,13960.93351,6508.91352,172926781.3888423
2023-09-17,26559.67,26623.25,26399.0,26527.51,12998.10277,6359.89459,168675580.016463
2023-09-18,26527.5,27409.0,26377.35,26762.51,43000.43256,21551.71605,580912488.7594309
2023-09-19,26762.5,27483.57,26667.79,27210.26,36190.52187,17851.15558,484061308.124933
2023-09-20,27210.25,27388.63,26800.0,27125.0,34207.21867,16983.43086,460402346.1707834
2023-09-21,27125.01,27159.6,26377.7,26568.08,34476.82662,16878.78202,450738363.8506985
2023-09-22,26568.08,26743.38,26468.77,26580.14,18198.2292,8484.09679,225805692.7235693
2023-09-23,26580.14,26632.81,26509.0,26575.96,9440.7026,4387.1973,116581214.130133
2023-09-24,26575.97,26738.54,26122.08,26248.38,15706.65771,7547.06342,200078452.0167577
2023-09-25,26248.39,26446.15,25990.46,26304.81,26266.2039,12654.58207,331622453.1518055
2023-09-26,26304.8,26397.46,26088.34,26221.67,18495.35066,8813.76144,231246870.5474588
2023-09-27,26221.68,26850.0,26112.06,26372.99,34771.57978,16813.75506,444221386.426141
2023-09-28,26373.0,27308.48,26342.4,27021.39,44517.83491,22463.19242,602340703.6015062
2023-09-29,27021.39,27244.89,26665.16,26906.96,28478.76219,14409.35554,388591243.2591525
2023-09-30,26906.96,27094.99,26886.31,26962.56,12804.62307,6221.24272,167818583.0599575
2023-10-01,26962.57,28065.51,26954.09,27992.57,24602.81468,12815.98694,351622961.4701274
2023-10-02,27992.58,28580.0,27281.44,27494.51,57071.14241,28423.61,797598852.4797782
2023-10-03,27494.51,27676.52,27160.5,27426.46,28928.96555,13562.03527,372402100.7967511
2023-10-04,27426.45,27839.72,27202.0,27778.57,29816.142,15077.70185,414806576.3484014
2023-10-05,27778.57,28120.39,27352.0,27410.39,30681.49619,14985.99405,415039706.5866476
2023-10-06,27410.39,28295.0,27175.94,27931.09,37983.24277,19091.24006,529241188.557369
2023-10-07,27931.1,28029.67,27842.08,27956.67,13348.83825,6392.35089,178534947.7787839
2023-10-08,27956.67,28095.14,27687.5,27917.05,19693.56921,9216.08271,257333249.5330772
2023-10-09,27917.06,27987.93,27260.0,27590.12,31534.74639,15077.43003,415887241.10445
2023-10-10,27590.12,27735.0,27298.0,27390.12,22776.84383,10851.22317,298354384.6981499
2023-10-11,27390.12,27477.39,26538.66,26875.52,37349.44706,17460.0774,470620209.7857446
2023-10-12,26875.52,26947.04,26555.0,26759.63,23428.64112,11128.85943,297794983.5412317
2023-10-13,26759.63,27130.0,26685.0,26862.0,24115.76499,11209.65389,301049285.742293
2023-10-14,26862.0,26989.58,26789.0,26852.48,10417.25576,4378.85219,117730324.8186729
2023-10-15,26852.48,27293.33,26808.25,27154.15,15274.6917,7802.69243,210833694.1344327
2023-10-16,27154.14,30000.0,27112.66,28500.78,78399.22445,40738.04173,1148700588.6793344
2023-10-17,28500.77,28613.65,28069.32,28395.91,38428.44532,18994.06799,539218488.3415859
2023-10-18,28395.91,28982.36,28142.87,28320.0,32162.47591,15590.14442,443515753.8170772
2023-10-19,28320.0,28916.89,28100.66,28713.71,35895.50179,18427.23743,525695852.5632501
2023-10-20,28713.71,30207.55,28578.29,29669.04,59422.0992,29466.75927,869634841.3281221
2023-10-21,29669.05,30379.99,29464.77,29909.8,27517.51897,13836.12444,413323530.3421796
2023-10-22,29909.8,30248.0,29640.0,29992.46,22852.54563,11161.46844,334011129.2314961
2023-10-23,29992.46,34741.91,29883.6,33069.99,93513.64246,47839.23087,1505815243.5676994
